segmento,t_inicio,t_fin,a_x,b_x,c_x,d_x,a_y,b_y,c_y,d_y
577,0.23990004,0.24031653,-95832352.70950572,59870.27449587,-81.27962085,2.38486353,67128129.19859403,-16577.60138392,-291.46872056,44.80134581
578,0.24031653,0.24073303,95832352.70921688,-59870.27449559,-81.27962085,2.35447296,-123620750.32054283,67297.61210870,-270.34418464,44.68192528
579,0.24073303,0.24114952,-95832352.70914279,59870.27449552,-81.27962085,2.31715873,140083270.56094071,-87163.96680078,-278.61838485,44.57207136
580,0.24114952,0.24156601,95832352.70909905,-59870.27449549,-81.27962085,2.28676815,-129241945.91836897,87867.19175100,-278.32549649,44.45102937
581,0.24156601,0.24198251,-95832352.70905367,59870.27449547,-81.27962085,2.24945392,100834458.52411789,-73617.95516909,-272.39078738,44.34101331
582,0.24198251,0.24239900,95832352.70888425,-59870.27449543,-81.27962085,2.21906335,-119238540.48183307,52372.62191227,-281.23932268,44.22207922
583,0.24239900,0.24281549,-95832352.70827688,59870.27449527,-81.27962085,2.18174911,111291195.74919683,-96613.47614916,-299.66533444,44.10541517
584,0.24281549,0.24323199,95832352.70597945,-59870.27449466,-81.27962085,2.15135854,-83540828.73000483,42442.57851455,-322.22714103,43.97188794
585,0.24323199,0.24364848,-95832352.69744620,59870.27449240,-81.27962085,2.11404431,129733279.61438601,-61939.96467163,-330.34766838,43.83900929
586,0.24364848,0.24406497,95832352.66557464,-59870.27448399,-81.27962085,2.08365373,-181785329.00796735,100159.09357208,-314.42966384,43.70005016
587,0.24406497,0.24448147,-95832352.54664625,59870.27445259,-81.27962086,2.04633950,183332954.53507087,-126977.92726254,-325.59952377,43.57333306
588,0.24448147,0.24489796,95832352.10276684,-59870.27433539,-81.27962081,2.01594892,-199189915.38945693,102092.81976170,-335.96400003,43.42894205
589,0.24489796,0.24531445,-95832350.44622329,59870.27389798,-81.27962100,1.97863469,210573172.07464916,-146790.87293651,-354.58043200,43.29233404
590,0.24531445,0.24573095,95832344.26389222,-59870.27226556,-81.27962032,1.94824412,-191996586.14269263,116315.96430794,-367.27302202,43.13440383
591,0.24573095,0.24614744,-95832321.19114283,59870.26617329,-81.27962285,1.91092988,177002731.41702652,-123579.81179705,-370.29836458,42.98774278
592,0.24614744,0.24656393,95832235.08243857,-59870.24343663,-81.27961338,1.88053931,-206299644.13341182,97581.45194766,-381.12650279,42.82486712
593,0.24656393,0.24698042,-95831913.72041169,59870.15858225,-81.27964873,1.84322508,290228497.90643865,-160185.70023903,-407.20074198,42.66815301
594,0.24698042,0.24739692,95830714.38096419,-59869.84190139,-81.27951683,1.81283450,-371093906.89913929,202448.82442539,-389.59844120,42.49173815
